id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,8,1,128,8,16,32,32,64,29,inf,1,16,64,RS,1,True,False,False,1,256,True,1,10,10,1,32,1,256,8,1,inf,1,True,inf,False,inf
2,32,1,128,1,512,1,16,1,16,0.1866307124494042,1,1,16,RS,8,False,False,False,512,1024,True,1,20,1,2048,8,35,1,12,1,0.18749668571428568,1,True,0.002613908707242071,True,0.18836265897916715
3,1,1,256,1,32,512,32,512,17,0.1796774985217398,32,128,1,RS,1,True,True,True,512,128,True,13,15,1,256,8,35,256,1,25,0.1803469714285714,8,True,0.002020779545277576,True,0.18101644433540298
4,1,1,256,32,1,16,512,64,7,0.17875760427934534,256,256,512,RS,1,False,False,True,512,1024,True,8,19,1,128,8,35,1024,1,1,0.17981202857142858,1,False,0.003182741257700566,True,0.18086645286351183
5,1,1,1,1,128,256,128,256,1,0.09137044937647162,64,512,128,RS,8,False,True,False,1024,1024,False,9,1,16,512,1,35,512,27,28,0.09141211714285716,8,False,0.00012577263269365708,True,0.09145378490924269
6,1,8,512,8,512,128,128,2048,1,0.1774892710122244,16,16,64,RS,1,False,True,True,2048,64,True,11,1,4,512,1,35,512,28,5,0.17855574285714285,32,False,0.003219106356409733,True,0.1796222147020613
7,1,1,128,1,128,256,128,256,14,0.17700329237325543,32,128,128,RS,8,False,False,True,64,2048,True,30,24,1,1,1,35,2048,1,2,0.1820015714285714,1,True,0.015087122979142017,True,0.18699985048388737
8,1,32,256,1,16,256,512,256,11,0.2468962643576405,1,64,16,RS,1,False,False,False,2048,128,True,14,16,1,512,8,35,2048,27,1,0.2484214,1,False,0.004603566295818925,True,0.24994653564235947
9,1,8,2048,8,512,16,32,64,26,0.1909275531578372,128,128,256,RS,1,True,False,True,1024,1024,True,1,15,6,1,1,35,512,16,1,0.19165302857142857,1,False,0.0021898210688248904,True,0.19237850398501996
10,8,1,2048,8,512,256,64,2048,1,0.11782044827883192,64,64,256,RS,1,False,True,True,256,2048,True,1,13,21,1,1,35,1,4,28,0.1187435142857143,8,False,0.0027862410660901816,True,0.11966658029259666
11,1,1,1,32,64,16,32,128,1,0.13736053134288384,64,16,64,RS,1,True,True,True,1,1024,True,25,10,1,2048,32,35,1024,19,21,0.13825751428571428,1,False,0.002707510288822857,True,0.13915449722854473
12,32,1,512,1,1,16,128,1,1,0.1349216046343222,128,512,64,RS,1,True,True,False,512,128,True,2,7,1,256,1,35,1,24,4,0.13709245714285712,32,False,0.006552639099053833,True,0.13926330965139203
13,1,1,512,32,32,64,256,256,1,0.21551496113547294,128,64,256,RS,1,True,True,False,1024,512,False,1,9,22,1,8,35,512,15,30,0.2165221714285714,1,True,0.003040227524246118,True,0.21752938172166988
14,8,1,2048,8,64,16,64,64,22,0.12231632506979122,512,16,64,RS,1,True,True,True,1,64,False,1,25,3,2048,32,35,256,20,1,0.1228175142857143,1,True,0.001512821363667021,True,0.12331870350163739
15,1,8,256,8,16,64,128,128,19,0.1822351214452047,128,16,512,RS,1,False,False,True,2048,2048,False,4,20,1,64,8,35,2048,23,1,0.18447520000000003,8,True,0.006761595394157041,True,0.18671527855479536
16,32,1,64,1,64,32,128,256,23,0.11299517385464404,256,1,1,RS,1,False,True,True,512,2048,False,1,13,21,256,1,35,512,1,4,0.11497942857142855,8,True,0.005989400472194737,True,0.11696368328821306
17,1,1,1,1,1,128,128,1024,21,0.21366839879358446,1,1,16,RS,1,True,True,False,2048,1024,True,1,18,18,256,32,35,1,1,29,0.2141812,1,True,0.0015478717333348864,True,0.21469400120641552
18,1,8,1024,1,128,512,128,1024,1,0.08479494014800053,32,128,16,RS,1,False,False,False,2048,1,False,17,1,26,1024,8,35,128,5,2,0.08480705999999999,8,False,3.6583331098818866e-05,True,0.08481917985199945
19,1,32,1024,1,64,1,256,1,30,0.10731124824599449,16,1,32,RS,1,True,False,True,512,2048,True,1,22,20,512,8,35,1,1,26,0.11054928571428572,8,False,0.009773897966585517,True,0.11378732318257696
20,8,1,512,8,128,64,1,1024,1,0.12291871896163167,64,16,64,RS,8,True,False,True,512,2048,False,19,28,1,1,1,35,1024,4,27,0.12380302857142857,8,True,0.002669256295414932,True,0.12468733818122546
21,32,1,128,1,1,32,1,1,2,0.08874589701589053,32,32,256,RS,1,True,True,True,1024,512,False,1,18,25,128,1,35,1024,1,21,0.08877896857142858,8,False,9.982528386114962e-05,True,0.08881204012696664
22,1,8,512,1,512,1,32,256,1,0.12213543719429013,256,128,512,RS,1,True,True,False,512,2048,False,5,1,13,1024,8,35,256,3,16,0.12332414285714284,1,True,0.0035880646764584628,True,0.12451284851999556
23,1,32,1,1,512,1,128,512,1,0.2886153052154072,32,512,128,RS,1,True,True,True,512,1024,True,16,25,1,2048,32,35,2048,15,17,0.2916467714285714,1,True,0.009150370169204601,True,0.2946782376417357
24,1,32,2048,1,32,64,1,128,16,0.16852956967218055,128,512,512,RS,1,True,True,True,512,1024,False,20,1,14,512,32,35,512,1,9,0.16859305714285713,1,False,0.00019163461406051464,True,0.16865654461353372
25,1,1,64,8,32,512,16,512,1,0.1634303390850437,512,64,1,RS,1,False,True,False,1,64,True,15,9,1,1024,1,35,2048,3,9,0.16626608571428572,32,True,0.008559597745459868,True,0.16910183234352774
26,1,1,64,1,1,32,16,64,13,0.08476474219721285,128,32,16,RS,1,True,True,False,2048,256,False,1,5,5,128,1,35,64,1,26,0.08477398285714287,1,False,2.7892594877127762e-05,True,0.08478322351707289
27,1,8,256,8,256,512,512,1,6,0.17055224832143492,1,64,1,RS,1,False,False,False,64,64,False,12,1,12,1024,8,35,512,1,3,0.1730772857142857,1,True,0.007621733250838601,True,0.1756023231071365
28,1,8,1024,1,32,256,128,256,26,0.18264224312433172,128,512,128,RS,1,True,False,True,128,512,False,1,28,9,256,1,35,512,1,24,0.1826838285714286,8,False,0.00012552415492401683,True,0.18272541401852546
29,1,8,1024,8,32,32,16,2048,2,0.2111335753335636,32,16,128,RS,8,False,False,True,64,1,False,18,1,21,1,8,35,128,1,26,0.21270008571428575,1,True,0.004728454434115888,True,0.2142665960950079
30,32,1,512,1,1,1,1,1024,1,0.3049763798351469,16,256,1,RS,1,True,False,True,1024,64,True,14,15,1,256,32,35,1,30,25,0.3054408571428571,1,False,0.0014020078080658328,True,0.30590533445056733
31,1,1,1,32,256,16,32,512,25,0.23722984386632573,64,64,1,RS,8,True,False,True,128,1,True,12,1,19,256,1,35,2048,30,1,0.23879771428571422,1,True,0.0047325596612128136,True,0.24036558470510272
32,1,8,256,8,128,1,64,2048,1,0.17129135045476834,256,16,32,RS,1,True,True,True,1024,256,False,1,12,26,256,1,35,128,16,26,0.17137917142857148,8,False,0.000265084405502884,True,0.17146699240237462
33,1,1,128,32,1,256,16,1,4,0.23015055540146107,1,128,256,RS,1,True,False,False,1024,1024,True,17,1,11,512,1,35,64,29,1,0.23381605714285714,8,False,0.011064183280020153,True,0.2374815588842532
34,32,1,2048,1,64,256,32,1,25,0.11616315563277546,16,32,32,RS,1,True,False,False,2048,2048,True,1,1,22,512,8,35,512,1,3,0.11685331428571429,1,False,0.0020832187152361598,True,0.11754347293865311
35,8,1,256,8,16,64,512,1,2,0.15622520383857133,256,64,128,RS,1,False,False,True,256,1024,False,15,1,28,1024,32,35,1024,13,1,0.15631774285714287,1,False,0.00027932565151062727,True,0.1564102818757144
36,1,8,128,8,16,32,32,2048,11,0.19080509716959798,64,1,64,RS,8,False,False,True,512,128,False,11,1,4,128,8,35,128,1,26,0.19087911428571427,1,False,0.0002234179646733351,True,0.19095313140183057
37,1,32,2048,1,128,128,64,1024,12,0.14645538791157234,64,1,32,RS,1,True,False,True,1,1,True,28,23,1,256,1,35,2048,10,1,0.14740074285714286,32,True,0.0028535194143659275,True,0.14834609780271338
38,1,1,64,8,32,128,16,512,16,0.11914923278900318,256,32,16,RS,1,True,False,False,2048,512,True,1,29,28,512,1,35,64,1,2,0.1202394,32,True,0.0032906299544529236,True,0.12132956721099682
39,1,1,128,32,512,16,32,64,12,0.18250183710510415,1,128,256,RS,1,False,True,True,2048,1024,False,1,26,4,1024,1,35,128,19,1,0.18255597142857147,32,False,0.00016340248043479955,True,0.1826101057520388
40,1,8,128,1,512,16,256,64,1,0.14087933680279519,128,1,16,RS,1,False,True,False,1,2048,True,8,1,23,1,8,35,512,15,5,0.141765,1,False,0.0026733420496236004,True,0.14265066319720482
41,1,1,1024,8,512,16,64,2048,8,0.17955021094829915,1,256,256,RS,1,False,True,False,512,512,True,11,1,11,1,8,35,256,7,1,0.1822835714285714,1,True,0.008250548890089379,True,0.18501693190884366
42,1,1,1,1,1,256,512,512,9,0.07695518558687674,64,64,32,RS,8,True,True,False,128,2048,False,2,1,11,256,1,35,1,1,21,0.07697376857142856,8,False,5.6092060917379e-05,True,0.07699235155598037
43,1,32,1024,1,16,512,128,512,6,0.13654746450258434,16,32,64,RS,1,True,True,True,256,1,False,1,26,17,1,8,35,256,20,1,0.1383062,1,True,0.005308678936017349,True,0.14006493549741564
44,1,1,512,1,16,1,1,1024,22,0.11308119568313349,512,128,16,RS,8,False,True,True,1,64,False,1,1,8,1,1,35,2048,4,1,0.11397097142857142,1,True,0.002685755626429547,True,0.11486074717400935
45,1,8,256,1,128,512,512,512,1,0.0915366540668848,64,64,16,RS,1,False,True,True,64,128,True,24,1,4,2048,8,35,512,6,1,0.09270722285714288,1,False,0.0035333191882086275,True,0.09387779164740095
46,1,1,1,1,256,64,512,1,1,0.15321430828090915,32,512,64,RS,1,True,True,True,512,512,False,1,27,21,1024,1,35,1024,25,24,0.15328545714285716,8,False,0.00021476024410718822,True,0.15335660600480516
47,8,1,512,1,128,256,16,2048,1,0.13129448121153894,64,32,64,RS,1,True,False,False,256,1024,False,9,1,12,512,32,35,128,6,9,0.13804682857142858,1,True,0.020381714163836332,True,0.14479917593131822
48,1,1,512,8,16,64,64,2048,22,0.15322570766817023,1,256,32,RS,1,False,False,True,1,512,False,29,24,1,1,1,35,64,16,1,0.15338977142857144,1,False,0.0004952204753275781,True,0.15355383518897264
49,1,8,2048,1,1,32,32,512,21,0.09862441911336793,16,256,128,RS,1,False,True,True,1,128,False,3,23,1,512,8,35,128,1,17,0.09863892571428572,8,False,4.3787645634402955e-05,True,0.0986534323152035
50,1,8,1,8,64,128,16,2048,13,0.19959691722313166,512,1,256,RS,1,False,True,True,1,1024,False,28,1,2,2048,8,35,1024,1,20,0.20039611428571427,8,True,0.0024123471767605264,True,0.20119531134829688
51,1,1,1024,8,128,64,256,64,6,0.22577855899455665,128,512,16,RS,8,True,False,True,1024,1,True,13,1,20,512,1,35,256,21,1,0.22736205714285715,1,False,0.004779731390796269,True,0.22894555529115765
52,8,1,512,1,256,128,1,2048,10,0.10561670877398482,16,32,256,RS,8,True,False,False,256,512,True,17,17,1,256,1,35,256,1,11,0.1072878,8,False,0.005044127900270343,True,0.10895889122601518
53,1,1,1024,8,32,64,64,64,9,0.17441619241751405,1,1,1,RS,1,False,True,False,512,64,True,29,1,18,2048,1,35,64,4,1,0.17584308571428572,8,True,0.004307025359780915,True,0.1772699790110574
54,1,1,2048,32,32,256,16,512,16,0.22885812390115873,1,64,16,RS,1,True,False,True,512,1,False,10,1,9,2048,8,35,2048,1,11,0.23028357142857148,1,True,0.00430266135771614,True,0.23170901895598423
55,1,32,64,1,256,64,512,128,1,0.2022952544251919,16,64,512,RS,1,True,True,True,512,1024,False,1,12,17,1,8,35,512,2,10,0.20234634285714284,8,False,0.00015420856801416706,True,0.2023974312890938
56,8,1,2048,1,128,64,512,64,1,0.15779838049929568,128,128,256,RS,32,True,True,False,1024,256,False,17,3,1,128,1,35,512,16,25,0.15782974285714285,1,False,9.466613298690238e-05,True,0.15786110521499003
57,8,8,1024,1,256,16,128,256,1,0.11218904889269203,64,128,128,RS,32,False,False,False,512,2048,True,22,1,3,1,1,35,1,11,4,0.11367957142857141,1,False,0.004499087896678707,True,0.11517009396445078
58,32,1,512,1,128,32,32,512,22,0.13371137999945412,64,1,16,RS,1,True,False,True,1,64,True,5,10,1,128,1,35,1024,18,1,0.13622654285714283,32,False,0.0075919273266989015,True,0.13874170571483155
59,8,8,2048,1,16,512,64,1024,4,0.09725790345206442,64,128,1,RS,1,True,True,False,1,1,True,21,1,12,1024,32,35,1024,1,3,0.09887278857142856,1,True,0.004874471817879138,True,0.1004876736907927
60,1,8,2048,8,64,128,128,512,29,0.17251552865493164,64,512,64,RS,1,True,False,True,512,1024,False,30,15,1,1,32,35,256,18,1,0.17328622857142856,1,True,0.0023263295809458455,True,0.17405692848792548
61,1,8,256,8,32,32,64,512,1,0.20603095352690567,32,128,32,RS,1,False,True,False,256,256,True,14,13,1,64,1,35,1,5,20,0.20649462857142858,1,False,0.00139958620590341,True,0.2069583036159515
62,1,8,1,1,256,256,256,2048,24,0.17501738093931507,1,1,32,RS,1,True,True,False,2048,256,False,1,14,4,1,1,35,512,1,1,0.18215362857142856,32,True,0.021540503129932047,True,0.18928987620354204
63,1,8,1,8,16,64,64,2048,1,0.17525518006272334,256,256,64,RS,8,True,True,True,1,2048,False,1,11,28,256,1,35,64,7,23,0.17700780000000002,8,True,0.0052902193408483275,True,0.1787604199372767
64,8,1,512,1,256,64,64,256,9,0.10899951912432916,64,32,512,RS,1,False,True,False,1024,1,False,11,1,26,2048,1,35,1024,1,13,0.11047497142857142,1,True,0.00445359895228063,True,0.11195042373281368
65,8,1,2048,1,16,16,64,1,1,0.10883020576595781,32,64,64,RS,1,True,False,False,128,64,False,1,4,17,128,8,35,512,2,20,0.10883494285714286,8,False,1.4298736921527016e-05,True,0.10883967994832791
66,1,8,128,1,16,64,1,256,1,0.1213929667139099,32,16,64,RS,8,False,False,False,1024,1,False,10,1,25,128,1,35,2048,19,13,0.12142548571428574,1,False,9.815741626258757e-05,True,0.12145800471466159
